word,type,definition
storm,noun,"very bad weather with strong winds and rain, and often thunder and lightning"
story,noun,a description of events and people that the writer or speaker has invented in order to entertain people
straight,adjective,without a bend or curve; going in one direction only
straight,adverb,not in a curve or at an angle; in a straight line
straightforward,adjective,easy to do or to understand; not complicated
strain,noun,pressure on a system or relationship because great demands are being placed on it
strand,noun,"a single thin piece of thread, wire, hair, etc."
strange,adjective,"unusual or surprising, especially in a way that is difficult to understand"
stranger,noun,a person that you do not know
strategic,adjective,done as part of a plan that is meant to achieve a particular purpose or to gain an advantage
strategy,noun,a plan that is intended to achieve a particular purpose
stream,noun,"a small, narrow river"
street,noun,a public road in a city or town that has houses and buildings on one side or both sides
strength,noun,the quality of being physically strong
strengthen,verb,to become more powerful or effective; to make somebody/something more powerful or effective
stress,noun,pressure or worry caused by problems in somebody’s life or by having too much to do
stress,verb,to give extra force to a word or syllable when saying it
stretch,noun,"an area of land or water, especially a long one"
stretch,verb,"to make something longer, wider or looser, for example by pulling it; to become longer, etc. in this way"
strict,adjective,that must be obeyed exactly
strictly,adverb,with a lot of control and rules that must be obeyed
strike,noun,a period of time when an organized group of employees of a company stops working because of an argument over pay or conditions
strike,verb,to hit somebody/something hard or with force
striking,adjective,interesting and unusual enough to attract attention
string,noun,"long, thin material used for tying things together, made of several threads that have been twisted together; a piece of string used to fasten or pull something or keep something in place"
strip,noun,"a long narrow piece of paper, metal, cloth, etc."
strip,verb,to take off all or most of your clothes or another person’s clothes
strive,verb,to try very hard to achieve something
stroke,noun,"an act of hitting a ball, for example with a bat or racket"
strong,adjective,"having a lot of physical power so that you can lift heavy weights, do hard physical work, etc."
strongly,adverb,in a way that shows definite and serious opinions or beliefs
structural,adjective,connected with the way in which something is built or organized
structure,noun,"the way in which the parts of something are connected together, arranged or organized; a particular arrangement of parts"
structure,verb,to arrange or organize something into a system or pattern
struggle,noun,"a hard fight in which people try to obtain or achieve something, especially something that somebody else does not want them to have"
struggle,verb,to try very hard to do something when it is difficult or when there are a lot of problems
student,noun,a person who is studying at a university or college
studio,noun,"a room where radio or television programmes are recorded and broadcast from, or where music is recorded"
study,noun,"the activity of learning or gaining knowledge, either from books or by examining things in the world"
study,verb,"to spend time learning about a subject by reading, going to college, etc."
stuff,noun,"used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about"
stuff,verb,to fill a space or container tightly with something
stumble,verb,to hit your foot against something while you are walking or running and almost fall
stun,verb,"to make a person or an animal unconscious for a short time, especially by hitting them on the head"
stunning,adjective,extremely attractive or impressive
stupid,adjective,showing a lack of thought or good judgement
style,noun,the particular way in which something is done
subject,adjective,"likely to be affected by something, especially something bad"
subject,noun,"a thing or person that is being discussed, described or dealt with"
submission,noun,the act of accepting that somebody has defeated you and that you must obey them
submit,verb,"to give a document, proposal, etc. to somebody in authority so that they can study or consider it"
subscriber,noun,"a person who pays money, usually once a year, to receive regular copies of a magazine or newspaper or have access to it online"
subscription,noun,"an amount of money that you pay regularly to receive a service, be a member of a club, support a charity or receive regular copies of a newspaper or magazine; the act of paying this money"
subsequent,adjective,happening or coming after something else
subsequently,adverb,afterwards; later; after something else has happened
subsidy,noun,money that is paid by a government or an organization to reduce the costs of services or of producing goods so that their prices can be kept low
substance,noun,"a type of solid, liquid or gas that has particular qualities"
substantial,adjective,"large in amount, value or importance"
substantially,adverb,very much; a lot
substitute,noun,a person or thing that you use or have instead of the one you normally use or have
substitute,verb,to take the place of somebody/something else; to use somebody/something instead of somebody/something else
substitution,noun,an act of using one person or thing in the place of another
subtle,adjective,not very obvious or easy to notice 
suburb,noun,an area where people live that is outside the centre of a city
suburban,adjective,in or connected with a suburb
succeed,verb,to achieve something that you have been trying to do or get; to have the result or effect that was intended
success,noun,the fact that you have achieved something that you want and have been trying to do or get 
successful,adjective,achieving your aims or what was intended
successfully,adverb,in a way that achieves your aims or what was intended
succession,noun,a number of people or things that follow each other in time or order
successive,adjective,following immediately one after the other
successor,noun,a person or thing that comes after somebody/something else and takes their/its place
such,determiner,used to emphasize the great degree of something
such,pronoun,used to emphasize the great degree of something
suck,verb,"to take liquid, air, etc. into your mouth by using the muscles of your lips"
sudden,adjective,happening or done quickly and unexpectedly
suddenly,adverb,quickly and unexpectedly
sue,verb,to make a claim against a person or an organization in court about something that they have said or done to harm you
suffer,verb,"to be badly affected by a disease, pain, sad feelings, a lack of something, etc."
suffering,noun,physical or mental pain
sufficient,adjective,enough for a particular purpose; as much as you need
sufficiently,adverb,enough for a particular purpose; as much as you need
sugar,noun,"a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter"
suggest,verb,to put forward an idea or a plan for other people to think about
suggestion,noun,an idea or a plan that you mention for somebody else to think about
suicide,noun,the act of killing yourself deliberately
suit,noun,"a set of clothes made of the same cloth, including a jacket and trousers or a skirt"
suit,verb,to be convenient or useful for somebody
suitable,adjective,right or appropriate for a particular purpose or occasion
suite,noun,"a set of rooms, especially in a hotel"
sum,noun,an amount of money
sum,verb,
summarize,verb,to give a summary of something
summary,noun,"a short statement that gives only the main points of something, not the details"
summer,noun,"the warmest season of the year, coming between spring and autumn"
summit,noun,"the highest point of something, especially the top of a mountain"
sun,noun,the star that shines in the sky during the day and gives the earth heat and light
Sunday,noun,"the day of the week after Saturday and before Monday, thought of as either the first or the last day of the week"
super,adjective,extremely good
superb,adjective,excellent; of very good quality
superior,adjective,better in quality than somebody/something else; greater than somebody/something else
supermarket,noun,"a large shop that sells food, drinks and goods used in the home. People choose what they want from the shelves and pay for it as they leave."
supervise,verb,"to be in charge of somebody/something and make sure that everything is done correctly, safely, etc."
supervision,noun,"the work or activity involved in being in charge of somebody/something and making sure that everything is done correctly, safely, etc."
supervisor,noun,a person who supervises somebody/something
supplement,noun,a thing that is added to something else to improve or complete it
supplement,verb,to add something to something in order to improve it or make it more complete
supply,noun,an amount of something that is provided or available to be used
supply,verb,"to provide somebody/something with something that they need or want, especially in large quantities"
support,noun,approval that you give to somebody/something because you want them to be successful
support,verb,to help or encourage somebody/something by saying or showing that you agree with them/it
supporter,noun,"a person who supports a political party, an idea, etc."
supportive,adjective,encouraging somebody or giving them help or sympathy
suppose,verb,to think or believe that something is true or possible (based on the knowledge that you have)
supposedly,adverb,according to what is generally thought or believed but not known for certain
suppress,verb,"to put an end, often by force, to a group or an activity that is believed to threaten authority"
supreme,adjective,highest in rank or position
sure,adjective,confident that you know something or that you are right
sure,adverb,used to say ‘yes’ to somebody
surely,adverb,used to show that you are almost certain of what you are saying and want other people to agree with you
surface,noun,the outside or top layer of something
surge,noun,a sudden increase of a strong feeling
surge,verb,to move quickly and with force in a particular direction
surgeon,noun,a doctor who is trained to perform surgery (= medical operations that involve cutting open a person’s body)
surgery,noun,medical treatment of injuries or diseases that involves cutting open a person’s body and often removing or replacing some parts; the branch of medicine connected with this treatment
surgical,adjective,used in or connected with surgery
surplus,noun,an amount that is extra or more than you need
surprise,noun,"an event, a piece of news, etc. that is unexpected or that happens suddenly"
surprise,verb,to make somebody feel surprised
surprised,adjective,feeling or showing surprise
surprising,adjective,causing surprise
surrender,verb,"to admit that you have been defeated and want to stop fighting; to allow yourself to be caught, taken prisoner, etc."
surround,verb,to be all around something/somebody
surrounding,adjective,that is near or around something
surveillance,noun,the act of carefully watching a person suspected of a crime or a place where a crime may be committed
survey,noun,"an investigation of the opinions, behaviour, etc. of a particular group of people, which is usually done by asking them questions"
survey,verb,"to look carefully at the whole of something, especially in order to get a general impression of it"
survival,noun,"the state of continuing to live or exist, often despite difficulty or danger"
survive,verb,to continue to live or exist
survivor,noun,"a person who continues to live, especially despite being nearly killed or experiencing great danger or difficulty"
suspect,noun,a person who is suspected of a crime or of having done something wrong
suspect,verb,"to have an idea that something is probably true or likely to happen, especially something bad, but without having definite proof"
suspend,verb,to hang something from something else
suspension,noun,"the act of officially removing somebody from their job, school, team, etc. for a period of time, usually as a punishment"
suspicion,noun,"a feeling that somebody has done something wrong, illegal or dishonest, even though you have no proof"
suspicious,adjective,"feeling that somebody has done something wrong, illegal or dishonest, without having any proof"
sustain,verb,to provide enough of what somebody/something needs in order to live or exist
sustainable,adjective,involving the use of natural products and energy in a way that does not harm the environment
swallow,verb,"to make food, drink, etc. go down your throat into your stomach"
swear,verb,"to use rude or offensive language, usually because you are angry"
sweater,noun,"a piece of clothing for the upper part of the body, made of wool or cotton, with long sleeves"
sweep,verb,"to clean a room, surface, etc. using a broom (= a type of brush on a long handle)"
sweet,adjective,"containing, or tasting as if it contains, a lot of sugar"
sweet,noun,"a small piece of sweet food, usually made with sugar and/or chocolate and eaten between meals"
swim,noun,a period of time during which you swim
swim,verb,"to move through water by moving your arms and legs, without touching the bottom"
swimming,noun,the sport or activity of swimming
swing,noun,a swinging movement or rhythm
swing,verb,to move backwards or forwards or from side to side while hanging from a fixed point; to make something do this
switch,noun,a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off
switch,verb,to change or make something change from one thing to another
sword,noun,a weapon with a long metal blade (= sharp cutting part) and a handle
symbol,noun,"a person, an object, an event, etc. that represents a more general quality or situation"
symbolic,adjective,"containing symbols, or being used as a symbol"
sympathetic,adjective,kind to somebody who is hurt or sad; showing that you understand and care about their problems
sympathy,noun,the feeling of being sorry for somebody; showing that you understand and care about somebody’s problems
symptom,noun,a change in your body or mind that shows that you are not healthy
syndrome,noun,a set of physical conditions that show you have a particular disease or medical problem
synthesis,noun,"the act of combining separate ideas, beliefs, styles, etc.; a mixture or combination of ideas, beliefs, styles, etc."
system,noun,an organized set of ideas or theories or a particular way of doing something
systematic,adjective,"done according to a system or plan, in a complete, efficient or determined way"
T-shirt,noun,"an informal shirt, usually with short sleeves (= arms) no collar or buttons, or just a few buttons at the top"
table,noun,a piece of furniture that consists of a flat top supported by legs
tablet,noun,"a small computer that is easy to carry, with a large touch screen and usually without a physical keyboard"
tackle,noun,"an act of trying to take the ball from an opponent in football (soccer), hockey, etc.; an act of knocking somebody to the ground, for example in rugby or American football "
tackle,verb,to make a determined effort to deal with a difficult problem or situation
tactic,noun,the particular method you use to achieve something
tactical,adjective,connected with the particular method you use to achieve something
tag,noun,"a small piece of paper, cloth, plastic, etc. attached to something to identify it or give information about it"
tag,verb,to fasten a tag onto something/somebody
tail,noun,"the part that sticks out at the back of the body of a bird, an animal or a fish, which the animal can move from side to side or up and down"
take,verb,to carry or move something from one place to another
tale,noun,"a story created using the imagination, especially one that is full of action and adventure"
talent,noun,a natural ability to do something well
talented,adjective,having a natural ability to do something well
talk,noun,a speech or lecture on a particular subject
talk,verb,"to say things; to speak in order to give information or to express feelings, ideas, etc."
tall,adjective,having a greater than average height
tank,noun,a large container for holding liquid or gas
tap,noun,a device for controlling the flow of water from a pipe into a bath or sink
tap,verb,to hit somebody/something quickly and lightly
tape,noun,"a long, narrow piece of material with a sticky substance on one side that is used for sticking things together"
target,noun,a result that you try to achieve
target,verb,to aim an attack or a criticism at somebody/something
task,noun,"a piece of work that somebody has to do, especially a hard or unpleasant one"
taste,noun,the particular quality that different foods and drinks have that allows you to recognize them when you put them in your mouth
taste,verb,to have a particular taste
tax,noun,money that you have to pay to the government so that it can pay for public services. People pay tax according to their income and businesses pay tax according to their profits. Tax is also often paid on goods and services.
tax,verb,to put a tax on somebody/something; to make somebody pay tax
taxi,noun,a car with a driver that you pay to take you somewhere. Taxis usually have meters that show how much money you have to pay.
taxpayer,noun,"a person who pays tax to the government, especially on the money that they earn"
tea,noun,the dried leaves (called tea leaves) of the tea bush
teach,verb,"to give lessons to students in a school, college, university, etc.; to help somebody learn something by giving information about it"
teacher,noun,"a person whose job is teaching, especially in a school"
teaching,noun,the work of a teacher
team,noun,a group of people who play a particular game or sport against another group of people
tear,noun,a hole that has been made in something by tearing
tear,verb,to damage something by pulling it apart or into pieces or by cutting it on something sharp; to become damaged in this way
technical,adjective,"connected with the practical use of machines, methods, etc. in science and industry"
technique,noun,"a particular way of doing something, especially one in which you have to learn special skills"
technological,adjective,connected with technology 
technology,noun,"scientific knowledge used in practical ways in industry, for example in designing new machines"
teenage,adjective,between 13 and 19 years old; connected with people of this age
teenager,noun,a person who is between 13 and 19 years old
teens,noun,the years of a person’s life when they are between 13 and 19 years old
telephone,noun,"a system for talking to somebody else over long distances, using wires or radio; a machine used for this"
telephone,verb,to speak to somebody by phone
television,noun,a piece of electrical equipment with a screen on which you can watch programmes with moving pictures and sounds
tell,verb,to give information to somebody by speaking or writing
temperature,noun,the measurement in degrees of how hot or cold a thing or place is
temple,noun,"a building used for religious worship, especially in religions other than Christianity"
temporarily,adverb,in a way that lasts or is intended to last or be used only for a short time; in a way that is not permanent
temporary,adjective,lasting or intended to last or be used only for a short time; not permanent
tempt,verb,"to attract somebody or make somebody want to do or have something, even if they know it is wrong"
ten,number,10
tenant,noun,"a person who pays rent for the use of a room, building, land, etc. to the person who owns it"
tend,verb,to be likely to do something or to happen in a particular way because this is what often or usually happens
tendency,noun,"if somebody/something has a particular tendency, they are likely to behave or act in a particular way"
tender,adjective,"kind, gentle and loving"
tennis,noun,a game in which two or four players use rackets to hit a ball backwards and forwards across a net on a specially marked court 
tension,noun,"a situation in which people do not trust each other, or feel unfriendly towards each other, and that may cause them to attack each other"
tent,noun,"a shelter made of a large sheet of canvas, nylon, etc. that is supported by poles and ropes fixed to the ground, and is used especially for camping"
tenure,noun,"the period of time when somebody holds an important job, especially a political one; the act of holding an important job"
term,noun,"a word or phrase used as the name of something, especially one connected with a particular type of language"
term,verb,to use a particular name or word to describe somebody/something
terminal,adjective,"that cannot be cured and will lead to death, often slowly"
terminal,noun,a building or set of buildings at an airport where passengers arrive and leave
terminate,verb,to end; to make something end
terms,noun,"the conditions that people offer, demand or accept when they make an agreement, an arrangement or a contract"
terrain,noun,"used to refer to an area of land when you are mentioning its natural features, for example, if it is rough, flat, etc."
terrible,adjective,"very unpleasant; making you feel very unhappy, upset or frightened"
terribly,adverb,very
terrific,adjective,excellent; wonderful
terrify,verb,to make somebody feel extremely frightened
territory,noun,land that is under the control of a particular country or political leader
terror,noun,a feeling of extreme fear
terrorism,noun,the use of violent action in order to achieve political aims or to force a government to act
terrorist,noun,a person who takes part in terrorism
test,noun,"an examination of somebody’s knowledge or ability, consisting of questions for them to answer or activities for them to perform"
test,verb,"to find out how much somebody knows, or what they can do by asking them questions or giving them activities to perform"
testify,verb,"to make a statement that something happened or that something is true, especially as a witness in court"
testimony,noun,a thing that shows that something else exists or is true
testing,noun,"the activity of testing somebody/something in order to find something out, see if it works, etc."
text,noun,any form of written material
text,verb,
textbook,noun,a book that teaches a particular subject and that is used especially in schools and colleges
texture,noun,"the way a surface, substance or piece of cloth feels when you touch it, for example how rough, smooth, hard or soft it is"
than,conjunction,used to introduce the second part of a comparison
than,preposition,used to introduce the second part of a comparison
thank,verb,to tell somebody that you are grateful for something
thankfully,adverb,used to show that you are pleased that something good has happened or that something bad has been avoided
thanks,exclamation,used to show that you are grateful to somebody for something they have done
thanks,noun,words or actions that show that you are grateful to somebody for something
that,adverb,to such a degree; so
that,conjunction,"used after some verbs, adjectives and nouns to introduce a new part of the sentence"
that,determiner,used for referring to a person or thing that is not near the speaker or as near to the speaker as another
that,pronoun,"used for referring to a person or thing that is not near the speaker, or not as near to the speaker as another"
the,definite article,used to refer to somebody/something that has already been mentioned or is easily understood
theatre,noun,a building or an outdoor area where plays and similar types of entertainment are performed
theatrical,adjective,connected with the theatre
theft,noun,the crime of stealing something from a person or place
their,determiner,"of or belonging to people, animals or things that have already been mentioned or are easily identified"
theirs,pronoun,of or belonging to them
them,pronoun,"used when referring to people, animals or things as the object of a verb or preposition, or after the verb be"
theme,noun,"the subject or main idea in a talk, piece of writing or work of art"
themselves,pronoun,used when people or animals performing an action are also affected by it
then,adverb,used to refer to a particular time in the past or future
theology,noun,the study of religion and beliefs
theoretical,adjective,"connected with the ideas and principles on which a particular subject is based, rather than with practice and experiment"
theory,noun,a formal set of ideas that is intended to explain why something happens or exists
therapist,noun,"a specialist who treats a particular type of illness or problem, or who uses a particular type of treatment"
therapy,noun,the treatment of a physical problem or an illness
there,adverb,used to show that something exists or happens
thereafter,adverb,after the time or event mentioned
thereby,adverb,used to introduce the result of the action or situation mentioned
therefore,adverb,used to introduce the logical result of something that has just been mentioned
thesis,noun,"a long piece of writing completed by a student as part of a university degree, based on their own research"
they,pronoun,"people, animals or things that have already been mentioned or are easily identified"
thick,adjective,having a larger distance between opposite sides or surfaces than other similar objects or than normal
thief,noun,a person who steals something from another person or place
thin,adjective,having a smaller distance between opposite sides or surfaces than other similar objects or than normal
thing,noun,"an object whose name you do not use because you do not need to or want to, or because you do not know it"
think,verb,to have a particular idea or opinion about something/somebody; to believe something
thinking,noun,the process of thinking about something
third,noun,each of three equal parts of something
third,ordinal number,3rd
thirsty,adjective,needing or wanting to drink
thirteen,number,
thirty,number,
this,adverb,to this degree; so
this,determiner,"used to refer to a particular person, thing or event that is close to you, especially compared with another"
this,pronoun,
thorough,adjective,done completely; with great attention to detail
thoroughly,adverb,very much; completely
though,adverb,used especially at the end of a sentence or clause to add a fact or an opinion that makes the previous statement less strong or less important
though,conjunction,despite the fact that
thought,noun,something that you think of or remember
thought-provoking,adjective,making people think seriously about a particular subject or issue
thoughtful,adjective,"quiet, because you are thinking"
thousand,number,1 000
thread,noun,"a thin string of cotton, wool, silk, etc. used for sewing or making cloth"
threat,noun,"a statement in which you tell somebody that you will punish or harm them, especially if they do not do what you want"
threaten,verb,"to say that you will cause trouble, hurt somebody, etc. if you do not get what you want"
three,number,3
threshold,noun,"the floor or ground at the bottom of a doorway, considered as the entrance to a building or room"
thrilled,adjective,very excited and pleased
thrive,verb,"to become, and continue to be, successful, strong, healthy, etc."
throat,noun,a passage in the neck through which food and air pass on their way into the body; the front part of the neck
through,adverb,from one end or side of something to the other
through,preposition,from one end or side of something/somebody to the other
throughout,adverb,in or into every part of something
throughout,preposition,in or into every part of something
throw,verb,to send something from your hand through the air by moving your hand or arm quickly
thumb,noun,"the short, thick finger at the side of the hand, slightly apart from the other four"
Thursday,noun,the day of the week after Wednesday and before Friday
thus,adverb,in this way; like this
ticket,noun,"a printed piece of paper, or a message or image received on your phone or computer, that gives you the right to travel on a particular bus, train, etc. or to go into a theatre, etc."
tide,noun,"a regular rise and fall in the level of the sea, caused by the pull of the moon and sun; the flow of water that happens as the sea rises and falls"
tidy,adjective,arranged neatly and with everything in order
tidy,verb,to make something look neat by putting things in the place where they belong
tie,noun,"a long, narrow piece of cloth worn around the neck, especially by men, with a knot in front"
tie,verb,"to attach or hold two or more things together using string, rope, etc.; to fasten somebody/something with string, rope, etc."
tight,adjective,"held or fixed in position securely; difficult to move, open or separate"
tighten,verb,"to hold or fix something more securely in position; to make something or become more difficult to move, open or separate"
till,conjunction,until
till,preposition,until
timber,noun,trees that are grown to be used in building or for making things
time,noun,"what is measured in minutes, hours, days, etc."
time,verb,to measure how long it takes for something to happen or for somebody to do something
timely,adjective,happening at exactly the right time
timing,noun,the act of choosing when something happens; a particular point or period of time when something happens or is planned
tin,noun,a metal container in which food is sold; the contents of one of these containers
tiny,adjective,very small in size or amount
tip,noun,a small piece of advice about something practical
tip,verb,to give somebody an extra amount of money to thank them for something they have done for you as part of their job
tired,adjective,feeling that you would like to sleep or rest; needing rest
tissue,noun,"a piece of soft paper, used especially as a handkerchief"
title,noun,"the name of a book, poem, painting, piece of music, etc."
title,verb,"to give a book, piece of music, etc. a particular name"
to,infinitive marker,used to show purpose or intention
to,preposition,in the direction of something; towards something
tobacco,noun,"the dried leaves of the tobacco plant that are used for making cigarettes, smoking in a pipe, etc."
today,adverb,on this day
today,noun,this day
toe,noun,one of the five small parts that stick out from the foot; any similar part on the foot of an animal or bird
together,adverb,with or near to somebody/something else; with each other
toilet,noun,a large bowl attached to a pipe that you sit on or stand over when you get rid of waste matter from your body
tolerance,noun,"the quality of being willing to accept or tolerate somebody/something, especially opinions or behaviour that you may not agree with, or people who are not like you"
tolerate,verb,to allow somebody to do something that you do not agree with or like
toll,noun,money that you pay to use a particular road or bridge
tomato,noun,a soft fruit with a lot of juice and shiny red skin that is eaten as a vegetable either raw or cooked
tomorrow,adverb,on or during the day after today
tomorrow,noun,the day after today
ton,noun,"a unit for measuring weight, in the UK 2 240 pounds (long ton) and in the US 2 000 pounds (short ton)"
tone,noun,"the quality of somebody’s voice, especially expressing a particular emotion"
tongue,noun,"the soft part in the mouth that moves around, used for tasting, swallowing, speaking, etc."
tonight,adverb,on or during the evening or night of today
tonight,noun,the evening or night of today
tonne,noun,"a unit for measuring weight, equal to 1 000 kilograms"
too,adverb,"used before adjectives and adverbs to say that something is more than is good, necessary, possible, etc."
tool,noun,"an instrument such as a hammer, screwdriver, saw, etc. that you hold in your hand and use for making things, repairing things, etc."
tooth,noun,any of the hard white structures in the mouth used for biting food
top,adjective,highest in position
top,noun,the highest part or point of something
top,verb,to be higher than a particular amount
topic,noun,"a subject that you talk, write or learn about"
torture,noun,the act of causing somebody severe pain in order to punish them or make them say or do something
torture,verb,to hurt somebody physically or mentally in order to punish them or make them tell you something
toss,verb,to throw something lightly or carelessly
total,adjective,being the amount or number after everyone or everything is counted or added together
total,noun,the amount you get when you add several numbers or amounts together; the final number of people or things when they have all been counted
total,verb,to reach a particular total
totally,adverb,completely
touch,noun,the sense that enables you to be aware of things and what they are like when you put your hands and fingers on them
touch,verb,to put your hand or another part of your body onto somebody/something
tough,adjective,having or causing problems or difficulties
tour,noun,"a journey made for pleasure during which several different towns, countries, etc. are visited"
tour,verb,"to travel around a place, for example on holiday, or to perform, to advertise something, etc."
tourism,noun,"the business activity connected with providing accommodation, services and entertainment for people who are visiting a place for pleasure"
tourist,noun,a person who is travelling or visiting a place for pleasure
tournament,noun,a sports competition involving a number of teams or players who take part in different games and must leave the competition if they lose. The competition continues until there is only the winner left.
towards,preposition,in the direction of somebody/something
towel,noun,"a piece of cloth or paper used for drying things, especially your body"
tower,noun,"a tall narrow building or part of a building, especially of a church or castle"
town,noun,"a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city."
toxic,adjective,containing poison; poisonous
toy,adjective,made as a copy of a particular thing and used for playing with
toy,noun,an object for children to play with
trace,noun,"a mark, an object or a sign that shows that somebody/something existed or was present"
trace,verb,to find or discover somebody/something by looking carefully for them/it
track,noun,rails (= metal bars) that a train moves along
track,verb,"to find somebody/something by following the marks, signs, information, etc., that they have left behind them"
trade,noun,the activity of buying and selling or of exchanging goods or services between people or countries
trade,verb,to buy and sell things
trademark,noun,"a name, symbol or design that a company uses for its products and that cannot be used by anyone else"
trading,noun,the activity of buying and selling things
tradition,noun,"a belief, custom or way of doing something that has existed for a long time among a particular group of people; a set of these beliefs or customs"
traditional,adjective,"being part of the beliefs, customs or way of life of a particular group of people, that have not changed for a long time"
traffic,noun,the vehicles that are on a road at a particular time
tragedy,noun,"a very sad event or situation, especially one that involves death"
tragic,adjective,"making you feel very sad, usually because somebody has died or suffered a lot"
trail,noun,a long line or series of marks that is left by somebody/something
trail,verb,"to pull something behind somebody/something, usually along the ground; to be pulled along in this way"
trailer,noun,"a truck, or a container with wheels, that is pulled by another vehicle"
train,noun,"a number of connected coaches or trucks, pulled by an engine or powered by a motor in each one, taking people and goods from one place to another"
train,verb,to teach a person or an animal the skills for a particular job or activity; to be taught in this way
trainer,noun,a shoe that you wear for sports or as informal clothing
training,noun,the process of learning the skills that you need to do a job
trait,noun,a particular quality in your personality
transaction,noun,"a piece of business that is done between people, especially an act of buying or selling"
transcript,noun,a written or printed copy of words that have been spoken
transfer,noun,"the act of moving somebody/something from one place, group or job to another; an occasion when this happens"
transfer,verb,to move from one place to another; to move something/somebody from one place to another
transform,verb,to change the form of something; to change in form
transformation,noun,a complete change in somebody/something
transit,noun,the process of being moved or carried from one place to another
transition,noun,the process or a period of changing from one state or condition to another
translate,verb,to express the meaning of speech or writing in a different language
translation,noun,the process of changing something that is written or spoken into another language
transmission,noun,"the act or process of passing something from one person, place or thing to another"
transmit,verb,"to send an electronic signal, radio or television broadcast, etc."
transparency,noun,"the quality of something, such as a situation or an argument, that makes it easy to understand"
transparent,adjective,allowing you to see through it
transport,noun,"a system for carrying people or goods from one place to another using vehicles, roads, etc."
transport,verb,to take something/somebody from one place to another in a vehicle
transportation,noun,"a system for carrying people or goods from one place to another using vehicles, roads, etc."
trap,noun,a piece of equipment for catching animals
trap,verb,to put somebody in a dangerous place that they cannot get out of
trauma,noun,"a mental condition caused by severe shock, stress or fear, especially when the harmful effects last for a long time"
travel,noun,the act or activity of travelling
travel,verb,"to go from one place to another, especially over a long distance"
traveller,noun,a person who is travelling or who often travels
treasure,noun,"a collection of valuable things such as gold, silver and jewellery"
treat,verb,to behave in a particular way towards somebody/something
treatment,noun,"something that is done to cure an illness or injury, or to make somebody look and feel good"
treaty,noun,a formal agreement between two or more countries
tree,noun,"a tall plant that can live a long time. Trees have a thick central wooden trunk from which branches grow, usually with leaves on them"
tremendous,adjective,very great
trend,noun,a general direction in which a situation is changing or developing
trial,noun,"a formal examination of evidence in court by a judge and often a jury, to decide if somebody accused of a crime is guilty or not"
tribal,adjective,connected with a tribe or tribes
tribe,noun,"a social group in a traditional society consisting of people with the same language, culture, religion, etc., living in a particular area and often having one leader known as a chief "
tribunal,noun,a type of court with the authority to deal with a particular problem or disagreement
tribute,noun,"an act, a statement or a gift that is intended to show your love or respect, especially for a dead person"
trick,noun,"something that you do to make somebody believe something that is not true, or to annoy somebody as a joke"
trick,verb,"to make somebody believe something which is not true, especially in order to cheat them"
trigger,noun,the part of a gun that you press in order to fire it
trigger,verb,to make something happen suddenly
trillion,number,
trio,noun,a group of three people or things
trip,noun,"a journey to a place and back again, especially a short one for pleasure or a particular purpose"
trip,verb,to catch your foot on something and fall or almost fall
triumph,noun,"a great success, achievement or victory"
troop,noun,"soldiers, especially in large groups"
trophy,noun,an object such as a silver cup that is given as a prize for winning a competition
tropical,adjective,"coming from, found in or typical of the tropics"
trouble,noun,"a problem, worry, difficulty, etc. or a situation causing this"
trouble,verb,to make somebody worried or upset
troubled,adjective,worried and anxious
trousers,noun,a piece of clothing that covers the lower body and is divided into two parts to cover each leg separately
truck,noun,a large vehicle for carrying heavy loads by road
TRUE,adjective,connected with facts rather than things that have been invented or guessed
truly,adverb,"used to emphasize that a particular statement, feeling, etc. is sincere or real"
trust,noun,"the belief that somebody/something is good, sincere, honest, etc. and will not try to harm or trick you"
trust,verb,"to have confidence in somebody; to believe that somebody is good, sincere, honest, etc."
trustee,noun,a person or an organization that has control of money or property that has been put into a trust for somebody
truth,noun,"the true facts about something, rather than the things that have been invented or guessed"
try,noun,an act of trying to do something
try,verb,to make an attempt or effort to do or get something
tsunami,noun,"an extremely large wave in the sea caused, for example, by an earthquake"
tube,noun,"a long, hollow pipe made of metal, plastic, rubber, etc., through which liquids or gases move from one place to another"
Tuesday,noun,the day of the week after Monday and before Wednesday
tuition,noun,"the act of teaching something, especially to one person or to people in small groups"
tune,noun,a series of musical notes that are sung or played in a particular order to form a piece of music
tunnel,noun,"a passage built underground, for example to allow a road or railway to go through a hill, under a river, etc."
turn,noun,the time when somebody in a group of people should or is allowed to do something
turn,verb,to move or make something move around a central point
turnout,noun,the number of people who attend a particular event
turnover,noun,the total amount of goods or services sold by a company during a particular period of time
TV,noun,television
twelve,number,12
twenty,number,
twice,adverb,two times; on two occasions
twin,adjective,used to describe one of a pair of children who are twins
twin,noun,one of two children born at the same time to the same mother
twist,noun,"the action of turning something with your hand, or of turning a part of your body"
twist,verb,to bend or turn something into a particular shape
two,number,2
type,noun,a class or group of people or things that share particular qualities or features and are part of a larger group; a kind or sort
type,verb,to write something using a computer keyboard or typewriter
typical,adjective,"having the usual qualities or features of a particular type of person, thing or group"
